Semester CCYYS: 20149
Field of Study: all Fields of Study
This is a tab delimited text file. Please open in EXCEL.
The last field is a data check field. All the records should have a # sign in the last field. If not, data has been lost.
---
CCYYS	CSN	UNQ	FOS	CNBR	TPC	TITLE	CANC	INC	INST NAME	INST EID	ANCL	CLMT	SEATS TKN	12THDAY	TOT ANCL	TOT CLMT	TOT SEATS TKN	TOT 12THDAY	TYPE	MODE	PGM CODE	FLAGS	#XLISTGS	XLISTG INFO	SM-AS HM	M-SEC HM	#TL	DAYS1	FROM T1	TO T1	BLDG1	RM1	CAP1	GPC1	TL NOTES 1	DAYS2	FROM T2	TO T2	BLDG2	RM2	CAP2	GPC2	TL NOTES 2	DAYS3	FROM T3	TO T3	BLDG3	RM3	CAP3	GPC3	TL NOTES 3	STD1	STD2	STD3	STD4	STD5	STD6	STD7	STD8	STD9	STD10	STD11	STD12	STD13	STD14	STD15	STD16	STD17	STD18	SCH COMM	DEPT COMM	LUPD T	LUPD ID	DATA CHECK	
20149	100511	02810	ACC	 353J		INTERNSHIP IN ACCOUNTING			CHARRIER, G	gkbc5	20	50	12	12	20	50	12	12	SEMINAR	FACEFACE			0				0						0								0								0			A													A							10/27/2014	NRNW0291	#	
20149	100512	02825	ACC	 355		INTRODUCTION TO TAXATION			SEIDMAN, J	js52685	50	43	43	43	60	53	52	52	LECTURE	FACEFACE			1	02825 ACC  355; 03010 ACC  380K (RS);			1	MW	11:00 am	12:30 pm	GSB	2.122	68	X							0								0													A		A								10/27/2014	NRNW0291	#	
20149	100513	02830	ACC	 355		INTRODUCTION TO TAXATION			SEIDMAN, J	js52685	50	43	43	43	60	53	48	48	LECTURE	FACEFACE			1	02830 ACC  355; 03015 ACC  380K (RS);			1	MW	12:30 pm	2:00 pm	GSB	2.122	68	X							0								0													A		A								10/27/2014	NRNW0291	#	
20149	100514	02835	ACC	 355		INTRODUCTION TO TAXATION			SEIDMAN, J	js52685	50	43	43	43	60	53	53	53	LECTURE	FACEFACE			1	02835 ACC  355; 03020 ACC  380K (RS);			1	MW	2:00 pm	3:30 pm	GSB	2.122	68	X							0								0													A		A								10/27/2014	NRNW0291	#	
20149	100515	02845	ACC	 356		FINANCIAL ACC CONCEPTS & RSCH			BADOLATO, P	pgb345	46	42	41	41	46	42	41	41	LECTURE	FACEFACE			0				1	TTH	9:30 am	11:00 am	GSB	2.122	68	X							0								0													A		A								10/27/2014	NRNW0291	#	
20149	100516	02840	ACC	 356		FINANCIAL ACC CONCEPTS & RSCH			BADOLATO, P	pgb345	46	42	41	41	46	42	41	41	LECTURE	FACEFACE			0				1	TTH	8:00 am	9:30 am	GSB	2.122	68	X							0								0													A		A								10/27/2014	NRNW0291	#	
20149	100517	02850	ACC	 356		FINANCIAL ACC CONCEPTS & RSCH			MCINNIS, J	johnmac	46	42	43	43	46	42	43	43	LECTURE	FACEFACE			0				1	MW	11:00 am	12:30 pm	CBA	4.348	56	X							0								0													A		A								10/27/2014	NRNW0291	#	
20149	100518	02855	ACC	 356		FINANCIAL ACC CONCEPTS & RSCH			MCINNIS, J	johnmac	46	42	42	42	46	42	42	42	LECTURE	FACEFACE			0				1	MW	12:30 pm	2:00 pm	CBA	4.348	56	X							0								0													A		A								10/27/2014	NRNW0291	#	
20149	100519	02860	ACC	 356		FINANCIAL ACC CONCEPTS & RSCH			MCINNIS, J	johnmac	46	42	41	41	46	42	41	41	LECTURE	FACEFACE			0				1	MW	2:00 pm	3:30 pm	CBA	4.348	56	X							0								0													A		A								10/27/2014	NRNW0291	#	
20149	115739	02863	ACC	 358C		AUDITING AND ASSURANCE SERVS			JOHANNS, J	jlj3434	10	10	11	11	75	75	52	52	LECTURE	FACEFACE			1	02863 ACC  358C; 02980 ACC  380K (RS);			1	TTH	9:30 am	11:00 am	UTC	4.122	102	X							0								0													A		A								10/27/2014	NRNW0291	#	
20149	100520	02865	ACC	 359		MANAGERIAL/COST ACCOUNTING			LAUX, V	vl2763	50	29	29	29	60	44	45	45	LECTURE	FACEFACE			1	02865 ACC  359; 03115 ACC  387 (RS);			1	MW	12:30 pm	2:00 pm	UTC	4.122	102	X							0								0													A		A								10/27/2014	NRNW0291	#	
20149	100521	02870	ACC	 359		MANAGERIAL/COST ACCOUNTING			LAUX, V	vl2763	50	29	30	30	60	44	44	44	LECTURE	FACEFACE			1	02870 ACC  359; 03120 ACC  387 (RS);			1	MW	2:00 pm	3:30 pm	UTC	4.122	102	X							0								0													A		A								10/27/2014	NRNW0291	#	
20149	112587	02875	ACC	 359		MANAGERIAL/COST ACCOUNTING			LAUX, V	vl2763	50	29	26	26	60	44	39	39	LECTURE	FACEFACE			1	02875 ACC  359; 03125 ACC  387 (RS);			1	MW	3:30 pm	5:00 pm	UTC	4.122	102	X							0								0													A		A								10/27/2014	NRNW0291	#	
20149	100522	02880	ACC	 362		AUDITING AND CONTROL			JOHANNS, J	jlj3434	48	48	47	48	48	48	47	48	LECTURE	FACEFACE			0				1	TTH	12:30 pm	2:00 pm	CBA	4.326	48	X							0								0															A								10/27/2014	NRNW0291	#	
20149	100523	02885	ACC	 179C		INDEPENDENT RSCH ACCOUNTING	A				1	1	0	0	1	1	0	0	INDVIZED	FACEFACE			0				0						0								0								0																							10/27/2014	NRNW0291	#	
20149	100524	02890	ACC	 379C		INDEPENDENT RSCH ACCOUNTING	A				1	1	0	0	1	1	0	0	INDVIZED	FACEFACE			0				0						0								0								0																							10/27/2014	NRNW0291	#	
20149	100525	02895	ACC	 180C		MPA DISTINGUISHED SPKR LYCEUM			LIMBERG, S	stl47	118	118	112	112	343	343	288	288	LECTURE	FACEFACE			1	02805 ACC  152 (RS); 02895 ACC  180C;			1	T	5:00 pm	6:30 pm	UTC	2.102A	349	X							0								0														A									10/27/2014	NRNW0291	#	
20149	100526	02900	ACC	 380D		ADV TPCS IN FINANCL REPORTING			KOONCE, L	llk8888	50	57	54	54	50	57	54	54	LECTURE	FACEFACE			0				1	MW	11:00 am	12:30 pm	CBA	4.328	69	X							0								0																							10/27/2014	NRNW0291	#	
20149	100527	02905	ACC	 180K		CURR RSCH TOPICS IN ACCOUNTING			CHEN, S	sc5593	6	10	2	3	6	10	2	3	LECTURE	FACEFACE			0				1	F	12:00 noon	1:00 pm	UTC	4.114	10	X							0								0																		A					10/27/2014	NRNW0291	#	
20149	114303	02920	ACC	 280K	  7	7-FINANCIAL STATEMENT ANALYSIS			BADOLATO, P	pgb345	48	48	48	0	48	48	48	0	LECTURE	FACEFACE	C0500		0				0						0								0								0																		A					10/27/2014	NRNW0291	#	
20149	114304	02925	ACC	 280K	  7	7-FINANCIAL STATEMENT ANALYSIS			BADOLATO, P	pgb345	48	48	49	0	48	48	49	0	LECTURE	FACEFACE	C0500		0				0						0								0								0																		A					10/27/2014	NRNW0291	#	
20149	114299	02915	ACC	 280K	  7	7-FINANCIAL STATEMENT ANAY-DAL			SMITH, S	stsmith	45	45	30	0	45	45	30	0	LECTURE	FACEFACE	C0600		0				0						0								0								0																		A					10/27/2014	NRNW0291	#	
20149	114301	02910	ACC	 280K	  7	7-FINANCIAL STATEMENT ANAY-DAL			SMITH, S	stsmith	45	45	32	0	45	45	32	0	LECTURE	FACEFACE	C0600		0				0						0								0								0																		A					10/27/2014	NRNW0291	#	
20149	114147	02930	ACC	 380K		ACC/AUDIT RSCH: DESIGN & EVAL			KINNEY, W	kinneywr	25	24	21	22	25	24	21	22	LECTURE	FACEFACE			0				1	TTH	8:00 am	9:30 am	CBA	4.332	48	X							0								0																		A					10/27/2014	NRNW0291	#	
